,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total
33,ropi01,1346111,Vitana Bez lepku Zeleninový bujón,66.0,"[27, 115, 57]",48,42.0,42.0,49,49,42
34,ropi01,1357532,Joyetech eGo Pod elektronická cigareta 1000 mAh Rainbow,73.0,"[100, 35, 30]",0,0.0,,7,7,0
35,ropi01,1357562,Liqua American Blend  18 mg CZ,20.0,"[122, 94, 118]",0,0.0,,5,5,0
36,ropi01,1357652,Liqua Traditional Tobacco 18 mg CZ,20.0,"[122, 94, 118]",0,0.0,,5,5,0
37,ropi01,1362280,Dr.Oetker Černé kakao,95.0,"[158, 100, 40]",17,17.0,17.0,17,17,17
38,ropi01,1373995,Alnatura BIO Zeleninové tortellini,262.0,"[220, 147, 20]",23,23.0,23.0,23,23,23
39,ropi01,1374010,Alnatura BIO Sýrové tortellini,262.0,"[220, 147, 20]",16,16.0,16.0,16,16,16
40,ropi01,1374355,Alnatura BIO Křupavé ovesné müsli s lesními plody,380.0,"[190, 115, 70]",18,18.0,18.0,18,18,18
41,ropi01,1374940,Alnatura BIO Gumoví medvídci mix,104.0,"[170, 120, 20]",31,30.0,30.0,31,31,30
42,ropi01,1375510,Alnatura BIO Směs semínek do salátu,110.0,"[180, 110, 40]",52,53.0,52.0,53,53,53
43,ropi01,1376155,Alnatura BIO Dětská kaše ovesno-banánová,286.0,"[170, 125, 45]",32,32.0,32.0,32,32,32
44,ropi01,1377025,Alnatura BIO Kopřivový čaj,52.0,"[162, 65, 45]",39,34.0,34.0,39,39,34
45,ropi01,1377085,Alnatura BIO Pudinková rýže,505.0,"[145, 80, 55]",43,41.0,39.0,45,45,41
46,ropi01,1377100,Alnatura BIO Mátový čaj,52.0,"[160, 66, 46]",82,80.0,79.0,84,84,80
47,ropi01,1377385,Alnatura BIO Čočkový hrnec,470.0,"[110, 75, 75]",31,24.0,24.0,32,32,24
48,ropi01,1377490,"Alnatura BIO Bourbon vanilkový cukr, 3x8g",26.0,"[121, 70, 15]",36,35.0,35.0,37,36,35
49,ropi01,1384751,Akinu Trénink jehněčí lupínky s treskou pro psy,130.0,"[200, 140, 20]",28,28.0,28.0,28,28,28
50,ropi01,1386926,"OVKO BIO Brambory, hrášek, cuketa",100.0,"[160, 75, 35]",2,1.0,1.0,2,2,1
51,ropi01,1391201,Linteo Baby Vlhčené ubrousky aqua sensitive,284.0,"[40, 210, 100]",31,26.0,24.0,38,38,26
52,ropi01,1391326,Masuyamiso Ramen polévka Tantan,52.0,"[5, 70, 115]",23,22.0,22.0,23,23,22
53,ropi01,1391451,Yutaka Sushi rýže krátkozrnná,550.0,"[158, 44, 108]",31,31.0,31.0,31,31,31
54,ropi01,1391601,Yutaka Mořská řasa Wakame,40.0,"[35, 132, 195]",97,87.0,87.0,98,98,87
55,ropi01,1391676,Põnn BIO Kapsička meruňka s jablkem,108.0,"[164, 75, 38]",21,16.0,16.0,21,21,16
56,ropi01,1391701,Põnn BIO Kapsička kuřátko se zeleninovým pyré,118.0,"[164, 75, 38]",8,8.0,8.0,8,8,8
57,ropi01,1391726,Põnn BIO Kapsička hovězí maso se zeleninovým pyré,120.0,"[164, 75, 38]",38,36.0,36.0,42,42,36
58,ropi01,1393226,It´s Natural BIO Sušená rajčata s medvědím česnekem,24.0,"[160, 100, 10]",70,70.0,70.0,74,71,70
59,ropi01,1396348,Whiskas Kapsičky klasický výběr ve šťávě pro dospělé kočky 4x100 g,410.0,"[140, 190, 30]",42,44.0,42.0,46,46,44
60,ropi01,1396393,Hami Mléčná kaše rýžová straciatella,267.0,"[200, 130, 46]",42,42.0,42.0,42,42,42
61,ropi01,1396408,Hami Mléčná kaše krupicová medová,267.0,"[200, 130, 46]",31,31.0,31.0,31,31,31
62,ropi01,1396513,Alviana BIO Classic Balzám na rty jojobový,5.0,"[120, 75, 20]",23,11.0,11.0,50,41,11
63,ropi01,1396573,Hami Mléčná kaše rýžová s vanilkovou příchutí,268.0,"[200, 130, 46]",16,16.0,16.0,16,16,16
64,ropi01,1397053,Manner Mozart Schnitten,320.0,"[200, 170, 74]",1,1.0,1.0,1,1,1
65,ropi01,1398433,Heera Koriandr mletý,110.0,"[180, 110, 10]",39,36.0,33.0,45,44,36
66,ropi01,1398463,Heera Tandoori masala,100.0,"[180, 110, 10]",42,34.0,32.0,48,47,34
67,ropi01,1398553,Heera Kari Madras,104.0,"[180, 110, 10]",61,58.0,58.0,62,61,58
68,ropi01,1402575,Savo Čistič pračky,298.0,"[168, 38, 69]",51,45.0,45.0,51,51,45
69,ropi01,1403318,VEPY Bramborové mini placky,52.0,"[210, 150, 80]",28,27.0,27.0,28,28,27
70,ropi01,1403518,Moassel Yellow Croissant,74.0,"[122, 94, 118]",1,0.0,,1,1,0
71,ropi01,1403668,Moassel Red Pip - Doprodej,74.0,"[122, 94, 118]",1,1.0,1.0,1,1,1
72,ropi01,1403698,Křehké tyčinky kukuřičné bez lepku,90.0,"[190, 140, 55]",20,20.0,20.0,20,20,20
73,ropi01,1407193,"Freche Freunde BIO Zeleninové tyčinky s rajčetem, kukuřicí a hráškem",34.0,"[160, 150, 60]",17,17.0,17.0,17,17,17
74,ropi01,1408118,Wrigley's Orbit Žvýkačky bez cukru s melounovou příchutí,82.0,"[81, 53, 53]",49,27.0,27.0,72,72,27
75,ropi01,1409928,Opavia Zlaté Disko kakaové sušenky s čokoládovou náplní,184.0,"[172, 54, 54]",1,1.0,1.0,1,1,1
76,ropi01,1410858,Felix Fantastic Kapsičky s hovězím a kuřecím v želé pro kočky (4×85 g),365.0,"[140, 190, 33]",42,37.0,36.0,46,45,37
77,ropi01,1410883,Felix Fantastic Kapsičky s lososem a platýsem v želé pro kočky (4×85 g),365.0,"[140, 190, 33]",37,35.0,32.0,41,41,35
78,ropi01,1410993,VELO X-Freeze Ultra (15 mg),14.0,"[20, 85, 85]",12,9.0,8.0,16,16,9
79,ropi01,1410998,HEETS Russet Selection,22.0,"[75, 120, 20]",56,26.0,25.0,94,94,26
80,ropi01,1411788,"Hamánek Ovocná kapsička jablko, mrkev a červená řepa",109.0,"[160, 78, 36]",43,39.0,39.0,43,43,39
81,ropi01,1411808,Hamánek Ovocná kapsička jablko a dýně,109.0,"[170, 68, 36]",47,47.0,47.0,48,47,47
82,ropi01,1411818,"Hamánek Ovocná kapsička banán, broskev a jablko",109.0,"[170, 68, 36]",29,28.0,28.0,29,29,28
83,ropi01,1411828,"Hamánek Ovocná kapsička jablko, banán a špenát",109.0,"[170, 68, 36]",34,18.0,18.0,37,37,18
84,ropi01,1412478,Arax Rýže černá střednězrnná,305.0,"[140, 85, 40]",34,32.0,31.0,35,35,32
85,ropi01,1412508,Arax Fazole mungo,514.0,"[160, 100, 55]",36,35.0,32.0,39,39,35
86,ropi01,1412513,Arax Bulgur s rajčaty a olivami,332.0,"[160, 80, 50]",38,33.0,33.0,39,38,33
87,ropi01,1412943,Milka Oreo Cookie Sensations kakaové sušenky s vanilkovou náplní,171.0,"[95, 176, 41]",137,135.0,134.0,139,138,135
88,ropi01,1413053,Oreo Sušenky s vanilkovou náplní a bílou polevou,278.0,"[125, 175, 35]",57,57.0,57.0,58,58,57
89,ropi01,1413668,VELO Mini Berry Frost Medium (6 mg),14.0,"[20, 85, 85]",10,8.0,8.0,27,26,8
90,ropi01,1414748,Tyrrells Brambůrky s příchutí zralého cheddaru a pažitky,157.0,"[275, 180, 30]",22,25.0,22.0,26,26,24
91,ropi01,1414753,Tyrrells Brambůrky s mořskou solí a jablečným octem,157.0,"[275, 180, 30]",32,31.0,29.0,37,36,31
92,ropi01,1414768,Tyrrells Brambůrky s příchutí sladkého chilli a červené papriky,157.0,"[275, 180, 30]",19,19.0,18.0,20,20,19
93,ropi01,1415098,Milzu! BIO Cereální hvězdičky se šťávou z černého rybízu,244.0,"[290, 190, 50]",103,96.0,96.0,104,104,96
94,ropi01,1419428,Hamé Veggie Pomazánka tatarák ze zeleniny,118.0,"[28, 72, 107]",25,17.0,17.0,34,31,17
95,ropi01,1419888,nimm2 Smilegummi Milk Buddies,92.0,"[155, 140, 20]",56,56.0,55.0,57,57,56
96,ropi01,1419893,nimm2 Smilegummi Shakies,92.0,"[155, 140, 20]",73,69.0,69.0,73,73,69
97,ropi01,1420843,VELO Mini Tropic Breeze Medium (6 mg),14.0,"[20, 85, 85]",5,3.0,3.0,5,5,3
98,ropi01,1422218,REJ Rejfínci kukuřičný snack bez soli,22.0,"[200, 130, 45]",24,21.0,21.0,25,25,21
99,ropi01,1422853,Moods Sunshine 10´s,22.0,"[180, 52, 86]",8,5.0,5.0,8,8,5
100,ropi01,1423483,Manner Snack minis lískooříškové,310.0,"[200, 140, 74]",22,22.0,22.0,22,22,22
101,ropi01,1423563,Babybio BIO Sladké brambory s perličkou a sušenými švestkami,290.0,"[130, 40, 130]",14,10.0,10.0,14,14,10
102,ropi01,1423998,Mentos Pure Fresh Watermelon žvýkačky,39.0,"[90, 40, 29]",2,1.0,1.0,13,13,1
103,ropi01,1424118,Snatt´s Pečené chlebíčky Bocaditos olivy a rozmarýn,113.0,"[220, 147, 40]",1,1.0,1.0,1,1,1
104,ropi01,1424513,P&S Blue XL cigaretový tabák,112.0,"[82, 182, 296]",13,13.0,13.0,13,13,13
105,ropi01,1425693,Seeberger Arašídy neloupané,411.0,"[255, 130, 75]",38,38.0,38.0,38,38,38
106,ropi01,1426098,Bear Ovocné rolované plátky černý rybíz 5×20g,135.0,"[142, 145, 40]",80,80.0,80.0,80,80,80
107,ropi01,1429953,Marks & Spencer Instantní ovesná kaše s ječnými vločkami a aroma javorového sirupu,85.0,"[87, 70, 70]",19,18.0,18.0,19,19,18
108,ropi01,1431298,Antica Cantina Taco Seasoning Kořenící směs,43.0,"[160, 90, 8]",34,34.0,34.0,37,34,34
109,ropi01,1432193,Nutella sušenky v tubě,173.0,"[173, 58, 58]",70,56.0,56.0,85,85,56
110,ropi01,1432688,Camel Filters tin cigaretový tabák,110.0,"[122, 94, 118]",15,15.0,15.0,16,15,15
111,ropi01,1433148,George's Taste Lískové ořechy Piemonte I.G.P.,205.0,"[210, 150, 30]",10,7.0,7.0,14,13,7
112,ropi01,1434248,Chesterfield Blue (CROWN) 28´s – Doprodej,30.0,"[26, 85, 25]",19,11.0,11.0,20,20,11
113,ropi01,1434483,Heinz Fazole chilli,442.0,"[108, 75, 75]",37,34.0,33.0,38,38,34
114,ropi01,1434698,neo™ Deep Tobacco,22.0,"[20, 49, 79]",9,7.0,7.0,12,12,7
115,ropi01,1434703,neo™ Classic Tobacco,22.0,"[80, 50, 20]",11,9.0,9.0,13,12,9
116,ropi01,1434708,neo™ Red Click,22.0,"[80, 49, 20]",16,9.0,9.0,23,22,9
117,ropi01,1434713,neo™ Bright Green Click,23.0,"[80, 49, 20]",18,13.0,13.0,24,24,13
118,ropi01,1434718,neo™ Violet Click,22.0,"[80, 50, 20]",18,8.0,8.0,26,26,8
119,ropi01,1434723,neo™ Tropic Click,22.0,"[80, 50, 20]",15,12.0,12.0,20,19,12
120,ropi01,1435853,Mäspoma BIO Cibule sušená,17.0,"[150, 110, 9]",45,44.0,44.0,45,45,44
121,ropi01,1436003,Alnatura BIO Kousky manga,110.0,"[155, 85, 60]",40,39.0,39.0,41,41,39
122,ropi01,1436213,IQOS Čistící tyčinky Glycerine 10´s,10.0,"[120, 118, 20]",11,3.0,3.0,30,30,3
123,ropi01,1436893,Inkontinenční vložky pro ženy normal,13.0,"[94, 85, 185]",15,15.0,15.0,15,15,15
124,ropi01,1436963,Pickwick čaj Jahoda s rakytníkem,35.0,"[121, 61, 68]",114,109.0,109.0,115,115,109
125,ropi01,1436968,Pickwick čaj Tropické ovoce s marakujou,35.0,"[121, 61, 68]",2,2.0,2.0,2,2,2
126,ropi01,1436988,Pickwick čaj Joy of Tea Earl Grey citrus,24.0,"[110, 69, 79]",2,2.0,2.0,2,2,2
127,ropi01,1437158,Barilla Fusilli 100 % Grano Italiano bezlepkové těstoviny,431.0,"[195, 53, 138]",20,20.0,20.0,20,20,20
128,ropi01,1437193,Barilla Farfalline 100 % Grano Italiano vaječné těstoviny,294.0,"[145, 43, 110]",13,13.0,13.0,13,13,13
129,ropi01,1437368,Lindt NUXOR Milk Cornet mléčná čokoláda,238.0,"[180, 105, 58]",7,7.0,7.0,7,7,7
130,ropi01,1437373,Lindt NUXOR Dark Cornet tmavá čokoláda,238.0,"[180, 105, 58]",5,5.0,5.0,5,5,5
131,ropi01,1441233,Knuspi Crispbread fitness křehký plátek,180.0,"[135, 168, 65]",38,37.0,37.0,38,38,37
132,ropi01,1441238,Knuspi Crispbread 3 druhy sýra křehký plátek,180.0,"[135, 168, 65]",46,46.0,46.0,46,46,46
133,ropi01,1441613,o.b. Tampony Organic Super,211.0,"[53, 121, 31]",40,33.0,33.0,40,40,33
134,ropi01,1441618,o.b. Tampony Organic Normal,211.0,"[53, 105, 27]",31,19.0,19.0,34,33,19
135,ropi01,1443093,Cock Brand Zelená kari pasta,64.0,"[4, 120, 165]",38,38.0,38.0,42,38,38
136,ropi01,1443428,Calibra Verve Konzerva pro dospělé psy s divočákem a hovězím,430.0,"[110, 75, 75]",6,6.0,6.0,6,6,6
137,ropi01,1443523,Nutline Arašídy solené,415.0,"[195, 100, 55]",40,37.0,36.0,42,42,37
138,ropi01,1443843,Pulze Copper,312.0,"[15, 12, 7]",1,1.0,1.0,1,1,1
139,ropi01,1443848,iD Rich Bronze,20.0,"[20, 50, 70]",0,0.0,,2,1,0
140,ropi01,1443863,iD Balanced Blue,18.0,"[20, 50, 70]",1,1.0,1.0,4,4,1
141,ropi01,1443883,Bonduelle Good lunch s bulgurem,256.0,"[180, 145, 30]",4,4.0,4.0,4,4,4
142,ropi01,1444568,Sokol Falco Meri kuřecí prsa bez kosti konzerva pro kočky,465.0,"[110, 75, 75]",8,8.0,8.0,8,8,8
143,ropi01,1445623,Leros Dětský čaj Malinka,53.0,"[120, 65, 74]",78,77.0,77.0,78,78,77
144,ropi01,1445628,Leros Dětský čaj Rakytníkový,53.0,"[120, 65, 74]",5,5.0,5.0,5,5,5
145,ropi01,1445633,Leros Dětský čaj s ovocem,53.0,"[120, 65, 74]",107,104.0,104.0,108,107,104
146,ropi01,1445648,Leros BIO Dětský čaj Fenykl,34.0,"[75, 65, 65]",51,45.0,45.0,51,51,45
147,ropi01,1445678,Granna Vánoční dílna,230.0,"[18, 18, 4]",1,1.0,1.0,1,1,1
148,ropi01,1445798,Teekanne Sweet peach,77.0,"[73, 139, 61]",15,15.0,15.0,15,15,15
149,ropi01,1448733,Dr.Oetker Rýžová kaše jahody a chia bez lepku,53.0,"[149, 103, 15]",57,58.0,58.0,62,59,58
150,ropi01,1456063,VELO Ice Cool Strong (10 mg),17.0,"[20, 70, 70]",14,15.0,15.0,20,20,15
151,ropi01,1456068,VELO Urban Vibe Ultra (15 mg),17.0,"[20, 70, 70]",4,4.0,4.0,4,4,4
152,ropi01,1456073,VUSE zařízení ePod 2 Black,97.0,"[12, 4, 2]",4,3.0,3.0,4,4,3
153,ropi01,1456078,"VELO Berry Frost X-Strong (10,9 mg)",17.0,"[20, 70, 70]",6,5.0,5.0,7,7,5
154,ropi01,1456083,VUSE ePod náplně Golden Tobacco (12 mg),16.0,"[20, 70, 80]",11,12.0,11.0,13,12,12
155,ropi01,1456088,VUSE ePod náplně Crushed Mint (12 mg),16.0,"[2, 7, 8]",23,21.0,21.0,23,23,21
156,ropi01,1456093,VUSE ePod náplně Dark Cherry (12 mg),16.0,"[2, 7, 8]",23,23.0,23.0,24,24,23
157,ropi01,1456098,VUSE ePod náplně Blushed Mango (12 mg),16.0,"[2, 7, 8]",19,14.0,14.0,19,19,14
158,ropi01,1456103,VUSE ePod náplně Vanilla Medley (12 mg),16.0,"[2, 7, 8]",8,7.0,7.0,8,8,7
159,ropi01,1456108,VUSE ePod náplně Crushed Mint (18 mg),16.0,"[2, 7, 8]",13,12.0,12.0,13,13,12
160,ropi01,1456113,VUSE ePod náplně Dark Cherry (18 mg),16.0,"[2, 7, 8]",14,13.0,13.0,14,14,13
161,ropi01,1456118,VUSE zařízení ePod 2 Blue,97.0,"[12, 4, 2]",2,2.0,2.0,2,2,2
162,ropi01,1456128,VUSE zařízení ePod 2 Cyan,97.0,"[120, 40, 20]",2,2.0,2.0,2,2,2
163,ropi01,1456138,neo™ Sticks Twilight Dance Click,18.0,"[80, 50, 20]",6,4.0,4.0,7,7,4
164,ropi01,1456143,neo™ Twilight Breeze,18.0,"[80, 50, 20]",7,5.0,4.0,12,12,5
165,ropi01,1456318,Tierra Verde Kaštanový šampon pro posílení vlasů s vůní pomeranče,557.0,"[182, 70, 70]",9,8.0,8.0,10,9,8
166,ropi01,1462503,ManaPowder Origin Mark 7 (5×86 g),440.0,"[245, 180, 65]",41,41.0,41.0,41,41,41
167,ropi01,1462608,Arax Vločky jáhlové,310.0,"[180, 100, 60]",46,45.0,44.0,47,47,45
168,ropi01,1462613,Arax Vločky rýžové,310.0,"[180, 100, 60]",44,46.0,45.0,48,48,46
169,ropi01,1462628,Hugo Žvýkačky bez aspartamu Skořice,13.0,"[140, 90, 10]",31,31.0,31.0,38,32,31
170,ropi01,1462638,Hugo Žvýkačky bez aspartamu spearmint,13.0,"[140, 90, 10]",33,33.0,33.0,34,33,33
171,ropi01,1463748,Camel White 83mm – Doprodej,30.0,"[55, 89, 27]",34,16.0,15.0,48,47,16
172,ropi01,1463853,Leros Dětský čaj Švestka,53.0,"[74, 65, 120]",3,3.0,3.0,3,3,3
173,ropi01,1463873,Dilmah Čaj černý Earl Grey,60.0,"[130, 78, 50]",3,3.0,3.0,3,3,3
174,ropi01,1463878,Dilmah Čaj černý Jahoda,60.0,"[130, 78, 50]",2,2.0,2.0,2,2,2
175,ropi01,1465036,Gillette Venus Smooth Holicí strojek – 5 holicích hlavic,86.0,"[211, 49, 106]",18,18.0,18.0,18,18,18
176,ropi01,1465041,Gillette Venus Deluxe Smooth Sensitive Rosegold Holicí strojek s kovovou rukojetí,85.0,"[195, 50, 90]",8,8.0,8.0,8,8,8
177,ropi01,1465061,Gillette Fusion5 Pánský holicí strojek – 2 holicí hlavice,69.0,"[200, 22, 105]",4,4.0,4.0,4,4,4
178,ropi01,1465066,Gillette Mach3 Pánský holicí strojek – 2 holicí hlavice,61.0,"[200, 105, 22]",8,8.0,8.0,8,8,8
179,ropi01,1465746,Kiddylicious Ovocno-zeleninové knoflíčky banán s dýní,51.0,"[150, 180, 50]",2,2.0,2.0,2,2,2
180,ropi01,1465866,neo™ Sticks Midnight Sun Click,18.0,"[79, 49, 20]",1,0.0,,1,1,0
181,ropi01,1466296,Topnatur Low Carb kaše Mandlová,63.0,"[170, 115, 10]",67,67.0,65.0,71,69,67
182,ropi01,1466927,Hello Ovocná přesnídávka XXL s mangem kapsička,220.0,"[192, 98, 30]",80,71.0,70.0,82,82,71
183,ropi01,1466947,Dilmah Story of tea Nuwara sypaný,210.0,"[120, 85, 85]",2,2.0,2.0,2,2,2
184,ropi01,1467032,Alnatura BIO Šípkovo-ibiškový ovocný čaj,68.0,"[66, 160, 46]",1,1.0,1.0,1,1,1
185,ropi01,1467037,Alnatura BIO Bylinná směs se zázvorem,77.0,"[75, 120, 65]",1,1.0,1.0,1,1,1
186,ropi01,1467047,Alnatura BIO Chai-Tee směs černého čaje a koření,77.0,"[75, 120, 65]",2,2.0,2.0,2,2,2
187,ropi01,1467102,Alnatura BIO Čaj Kurkuma Orange,79.0,"[75, 120, 65]",2,2.0,2.0,2,2,2
188,ropi01,1467107,Alnatura BIO Čaj Limetka se zázvorem,74.0,"[75, 120, 65]",1,1.0,1.0,1,1,1
189,ropi01,1467267,Allnature Čaj maliník list řezaný,71.0,"[185, 90, 50]",1,1.0,1.0,1,1,1
190,ropi01,1467282,Allnature Čaj Ostropestřec Mariánský plod celý,121.0,"[185, 90, 50]",2,2.0,2.0,2,2,2
191,ropi01,1467287,Allnature Čaj lipový květ,51.0,"[185, 90, 50]",4,4.0,4.0,4,4,4
192,ropi01,1467297,Allnature Čaj Řepík lékařský nať,101.0,"[185, 90, 50]",2,2.0,2.0,2,2,2
193,ropi01,1467537,Podravka Bujón slepičí kostky 6×10g,70.0,"[60, 77, 14]",104,83.0,82.0,107,105,83
194,ropi01,1468872,Nutrin Complete Grain free krmivo pro králíky – zeleninové,410.0,"[250, 140, 75]",27,26.0,26.0,27,27,26
195,ropi01,1470547,Akinu Bezlepkové mini piškoty pro psy,125.0,"[245, 145, 40]",29,30.0,29.0,30,30,30
196,ropi01,1470552,Akinu Bezlepkové piškoty pro psy,125.0,"[245, 145, 40]",22,21.0,21.0,23,22,21
197,ropi01,1470807,Oxalis Pro lepší náladu a paměť,60.0,"[190, 70, 40]",1,1.0,1.0,1,1,1
198,ropi01,1470812,Oxalis Imunitní čaj,60.0,"[190, 70, 40]",3,3.0,3.0,3,3,3
199,ropi01,1471657,"FruchtBar BIO Ovocná kapsička s jablkem, pomerančem, banánem a ovsem",107.0,"[152, 76, 27]",6,6.0,6.0,6,6,6
200,ropi01,1471662,"FruchtBar BIO Ovocná kapsička s jablkem, jahodou, borůvkami a špaldou",107.0,"[152, 76, 27]",27,26.0,26.0,27,27,26
201,ropi01,1471672,"FruchtBar BIO Ovocná kapsička s jablkem, broskví, meruňkami a ovsem",107.0,"[152, 76, 27]",15,14.0,14.0,15,15,14
202,ropi01,1471882,Domestos Aroma Lux Hibiscus oil & Wild Berries tuhý WC blok 3×55 g,220.0,"[167, 162, 40]",29,29.0,29.0,29,29,29
203,ropi01,1471887,Domestos Aroma Lux Pink Jasmine & Elderflower tuhý WC blok 3×55 g,220.0,"[167, 162, 40]",30,30.0,30.0,30,30,30
204,ropi01,1472307,Oxalis Rooibos Pretty Woman,80.0,"[190, 70, 40]",1,1.0,1.0,1,1,1
205,ropi01,1472312,Oxalis BIO Doktor z hor,36.0,"[207, 129, 63]",1,1.0,1.0,1,1,1
206,ropi01,1472332,Oxalis BIO Byliňáček,36.0,"[207, 129, 63]",1,1.0,1.0,1,1,1
207,ropi01,1472532,Avokádo Grilovací,193.0,"[152, 61, 61]",63,58.0,58.0,64,64,58
208,ropi01,1472542,Avokádo Mořská sůl s jodem,373.0,"[152, 61, 61]",13,13.0,13.0,13,13,13
209,ropi01,1472612,Pan Křupka Kukuřičné křupky mrkev a ananas,42.0,"[225, 160, 60]",50,50.0,50.0,51,50,50
210,ropi01,1472772,Teekanne BIO Kojící čaj,62.0,"[73, 139, 61]",3,3.0,3.0,3,3,3
211,ropi01,1472777,Teekanne BIO Ella Orangella čaj,67.0,"[110, 79, 69]",2,2.0,2.0,2,2,2
212,ropi01,1472947,Jihlavanka mletá káva Bez kofeinu,79.0,"[165, 115, 25]",17,16.0,16.0,17,17,16
213,ropi01,1473917,Gillette Venus 3 Dragonfruit Pohotová holítka,93.0,"[206, 46, 104]",22,22.0,22.0,22,22,22
214,ropi01,1473922,Gillette Venus ComfortGlide Breeze Náhradní hlavice,114.0,"[112, 57, 99]",6,6.0,6.0,6,6,6
215,ropi01,1473932,Gillette Fusion5 Náhradní hlavice,41.0,"[111, 24, 103]",19,18.0,18.0,19,19,18
